video,distortion,trend,severity,error,error_pct,tp,fp,fn,ssim,psnr
0002,elastic_warp,rises,4.0,0.6659678546471,66.59678546471,956,196,1710,0.8387401462681767,25.962583599577123
0002,elastic_warp,rises,6.0,0.7574573863636364,75.74573863636364,683,150,1983,0.8185064525735325,24.59771642425853
0002,elastic_warp,rises,8.0,0.8071942446043165,80.71942446043165,536,114,2130,0.8075310539355435,23.82866436979138
0002,elastic_warp,rises,10.0,0.8619810633648944,86.19810633648945,379,80,2287,0.7996587422711569,23.16122861045396
0002,elastic_warp,rises,12.0,0.8714756499450751,87.1475649945075,351,65,2315,0.7913435400331934,22.499493231293492
0002,elastic_warp,rises,16.0,0.9040793825799338,90.40793825799338,261,55,2405,0.7775346723097485,21.18634590467186
0002,gaussian_blur,rises,0.0,0.0,0.0,2666,0,0,1.0,inf
0002,gaussian_blur,rises,0.25,0.0,0.0,2666,0,0,1.0,inf
0002,gaussian_blur,rises,0.5,0.21282401091405184,21.282401091405184,2308,266,358,0.9948619937445389,44.69757067416867
0002,gaussian_blur,rises,0.75,0.3885480572597137,38.85480572597137,1794,268,872,0.9755269156984505,38.16426781084826
0002,gaussian_blur,rises,1.0,0.4914442162902122,49.14442162902122,1486,256,1180,0.9587702284194806,35.77978769370755
0002,gaussian_blur,rises,1.5,0.6967764789231314,69.67764789231315,856,157,1810,0.931632131259218,33.380596295783285
0002,gaussian_blur,rises,2.0,0.8617679156056748,86.17679156056748,380,83,2286,0.9129824648433061,32.1153534301305
0002,gaussian_blur,rises,3.0,0.9479320531757754,94.79320531757755,141,42,2525,0.8911573664456048,30.686292089254497
0002,gaussian_blur,rises,4.0,0.9658246656760773,96.58246656760772,92,26,2574,0.8808729286177538,29.843704367809448
0002,gaussian_blur,rises,6.0,0.9876865671641791,98.76865671641791,33,14,2633,0.8705931928234115,28.67367668020448
0002,gaussian_blur,rises,8.0,0.9921436588103255,99.21436588103255,21,7,2645,0.8655091725996191,27.84810607433066
0002,gaussian_blur,rises,12.0,0.9936329588014982,99.36329588014982,17,4,2649,0.8598410075480443,26.654891361643344
0002,gaussian_blur,rises,16.0,0.9943778110944528,99.43778110944528,15,2,2651,0.8560967007746619,25.735964429288614
0002,gaussian_noise,rises,0.0,0.0,0.0,2666,0,0,1.0,inf
0002,gaussian_noise,rises,2.0,0.24708236078692897,24.708236078692895,2258,333,408,0.9750932421063432,41.765378261200546
0002,gaussian_noise,rises,5.0,0.37974254742547425,37.97425474254742,1831,286,835,0.8726476033090063,34.09666111271334
0002,gaussian_noise,rises,8.0,0.5089224433768016,50.89224433768016,1431,248,1235,0.7369197080474822,30.051964851455075
0002,gaussian_noise,rises,12.0,0.6314125087842586,63.14125087842586,1049,180,1617,0.5696577282932103,26.550438436472
0002,gaussian_noise,rises,16.0,0.7208392603129445,72.08392603129445,785,146,1881,0.4423356765107155,24.072617914637984
0002,gaussian_noise,rises,24.0,0.8166064981949458,81.66064981949458,508,104,2158,0.28504087622887875,20.613841475360385
0002,gaussian_noise,rises,32.0,0.8771031455742502,87.71031455742502,336,68,2330,0.20093547861009525,18.21999580263591
0002,gaussian_noise,rises,48.0,0.9358308605341247,93.58308605341247,173,30,2493,0.11966824176585177,15.014390877078299
0002,gaussian_noise,rises,64.0,0.9484038604305864,94.84038604305864,139,28,2527,0.08197797512735325,12.93027872436101
0002,gaussian_noise,rises,80.0,0.964152352501867,96.4152352501867,96,12,2570,0.061128840780044845,11.477893676689014
0002,horizontal_shift,flat,0.0,0.0,0.0,2666,0,0,1.0,inf
0002,horizontal_shift,flat,1.0,0.22581710135358204,22.581710135358204,2345,363,321,0.9139133262076877,30.676156069930833
0002,horizontal_shift,flat,2.0,0.23463317911434237,23.46331791143424,2316,360,350,0.8410490335318945,27.28646923676198
0002,horizontal_shift,flat,4.0,0.23294723294723294,23.294723294723294,2384,442,282,0.8115959344987498,25.4596087992815
0002,horizontal_shift,flat,6.0,0.2777598970067589,27.77598970067589,2244,441,422,0.7998114268340061,24.38191388057826
